     #Energy           s           p           d       tot  
   -60.10257     0.00000     0.00000     0.00000     0.00000
   -60.02557     0.00000     0.00000     0.00000     0.00000
   -59.94957     0.00000     0.00000     0.00000     0.00000
   -59.87357     0.00000     0.00000     0.00000     0.00000
   -59.79657     0.00000     0.00000     0.00000     0.00000
   -59.72057     0.00000     0.00000     0.00000     0.00000
   -59.64357     0.00000     0.00000     0.00000     0.00000
   -59.56757     0.00000     0.00000     0.00000     0.00000
   -59.49057     0.00000     0.00000     0.00000     0.00000
   -59.41457     0.00000     0.00000     0.00000     0.00000
   -59.33757     0.00000     0.00000     0.00000     0.00000
   -59.26157     0.00000     0.00000     0.00000     0.00000
   -59.18457     0.00000     0.00000     0.00000     0.00000
   -59.10857     0.00000     0.00000     0.00000     0.00000
   -59.03157     0.00000     0.00000     0.00000     0.00000
   -58.95557     0.00000     0.00000     0.00000     0.00000
   -58.87857     0.00000     0.00000     0.00000     0.00000
   -58.80257     0.00000     0.00000     0.00000     0.00000
   -58.72657     0.00000     0.00000     0.00000     0.00000
   -58.64957     0.00000     0.00000     0.00000     0.00000
   -58.57357     0.00000     0.00000     0.00000     0.00000
   -58.49657     0.00000     0.00000     0.00000     0.00000
   -58.42057     0.00000     0.00000     0.00000     0.00000
   -58.34357     0.00000     0.00000     0.00000     0.00000
   -58.26757     0.00000     0.00000     0.00000     0.00000
   -58.19057     0.00000     0.00000     0.00000     0.00000
   -58.11457     0.00000     0.00000     0.00000     0.00000
   -58.03757     0.00000     0.00000     0.00000     0.00000
   -57.96157     0.00000     0.00000     0.00000     0.00000
   -57.88457     0.00000     0.00000     0.00000     0.00000
   -57.80857     0.00000     0.00000     0.00000     0.00000
   -57.73257     0.00000     0.00000     0.00000     0.00000
   -57.65557     0.00000     0.00000     0.00000     0.00000
   -57.57957     0.00000     0.00000     0.00000     0.00000
   -57.50257    -0.00000    -0.00000    -0.00000    -0.00000
   -57.42657    -0.00000    -0.00000    -0.00000    -0.00000
   -57.34957    -0.00000    -0.00000    -0.00000    -0.00000
   -57.27357    -0.00000    -0.00000    -0.00000    -0.00000
   -57.19657    -0.00000    -0.00000    -0.00000    -0.00000
   -57.12057    -0.00000    -0.00000    -0.00000    -0.00000
   -57.04357    -0.00000    -0.00000    -0.00000    -0.00000
   -56.96757    -0.00000    -0.00000    -0.00000    -0.00000
   -56.89057    -0.00000    -0.00000    -0.00000    -0.00000
   -56.81457    -0.00000    -0.00000    -0.00000    -0.00000
   -56.73757    -0.00000    -0.00000    -0.00000    -0.00001
   -56.66157     0.00002     0.00002     0.00001     0.00004
   -56.58557     0.00008     0.00009     0.00011     0.00027
   -56.50857     0.00005     0.00009     0.00015     0.00029
   -56.43257     0.00000     0.00001     0.00004     0.00005
   -56.35557    -0.00000    -0.00000    -0.00001    -0.00001
   -56.27957    -0.00000    -0.00000    -0.00000    -0.00000
   -56.20257    -0.00000    -0.00000    -0.00000    -0.00000
   -56.12657    -0.00000    -0.00000    -0.00000    -0.00000
   -56.04957    -0.00000    -0.00000    -0.00000    -0.00000
   -55.97357    -0.00000    -0.00000    -0.00000    -0.00000
   -55.89657    -0.00000    -0.00000    -0.00000    -0.00000
   -55.82057     0.00000     0.00000     0.00000     0.00000
   -55.74357     0.00000     0.00000     0.00000     0.00000
   -55.66757     0.00000     0.00000     0.00000     0.00000
   -55.59157     0.00000     0.00000     0.00000     0.00000
   -55.51457     0.00000     0.00000     0.00000     0.00000
   -55.43857     0.00000     0.00000     0.00000     0.00000
   -55.36157     0.00000     0.00000     0.00000     0.00000
   -55.28557     0.00000     0.00000     0.00000     0.00000
   -55.20857     0.00000     0.00000     0.00000     0.00000
   -55.13257     0.00000     0.00000     0.00000     0.00000
   -55.05557     0.00000     0.00000     0.00000     0.00000
   -54.97957     0.00000     0.00000     0.00000     0.00000
   -54.90257     0.00000     0.00000     0.00000     0.00000
   -54.82657     0.00000     0.00000     0.00000     0.00000
   -54.74957     0.00000     0.00000     0.00000     0.00000
   -54.67357     0.00000     0.00000     0.00000     0.00000
   -54.59657     0.00000     0.00000     0.00000     0.00000
   -54.52057     0.00000     0.00000     0.00000     0.00000
   -54.44457     0.00000     0.00000     0.00000     0.00000
   -54.36757     0.00000     0.00000     0.00000     0.00000
   -54.29157     0.00000     0.00000     0.00000     0.00000
   -54.21457     0.00000     0.00000     0.00000     0.00000
   -54.13857     0.00000     0.00000     0.00000     0.00000
   -54.06157     0.00000     0.00000     0.00000     0.00000
   -53.98557     0.00000     0.00000     0.00000     0.00000
   -53.90857     0.00000     0.00000     0.00000     0.00000
   -53.83257     0.00000     0.00000     0.00000     0.00000
   -53.75557     0.00000     0.00000     0.00000     0.00000
   -53.67957     0.00000     0.00000     0.00000     0.00000
   -53.60257     0.00000     0.00000     0.00000     0.00000
   -53.52657     0.00000     0.00000     0.00000     0.00000
   -53.45057     0.00000     0.00000     0.00000     0.00000
   -53.37357     0.00000     0.00000     0.00000     0.00000
   -53.29757     0.00000     0.00000     0.00000     0.00000
   -53.22057     0.00000     0.00000     0.00000     0.00000
   -53.14457     0.00000     0.00000     0.00000     0.00000
   -53.06757     0.00000     0.00000     0.00000     0.00000
   -52.99157     0.00000     0.00000     0.00000     0.00000
   -52.91457     0.00000     0.00000     0.00000     0.00000
   -52.83857     0.00000     0.00000     0.00000     0.00000
   -52.76157     0.00000     0.00000     0.00000     0.00000
   -52.68557     0.00000     0.00000     0.00000     0.00000
   -52.60857     0.00000     0.00000     0.00000     0.00000
   -52.53257     0.00000     0.00000     0.00000     0.00000
   -52.45557     0.00000     0.00000     0.00000     0.00000
   -52.37957     0.00000     0.00000     0.00000     0.00000
   -52.30357     0.00000     0.00000     0.00000     0.00000
   -52.22657     0.00000     0.00000     0.00000     0.00000
   -52.15057     0.00000     0.00000     0.00000     0.00000
   -52.07357     0.00000     0.00000     0.00000     0.00000
   -51.99757     0.00000     0.00000     0.00000     0.00000
   -51.92057     0.00000     0.00000     0.00000     0.00000
   -51.84457     0.00000     0.00000     0.00000     0.00000
   -51.76757     0.00000     0.00000     0.00000     0.00000
   -51.69157     0.00000     0.00000     0.00000     0.00000
   -51.61457     0.00000     0.00000     0.00000     0.00000
   -51.53857     0.00000     0.00000     0.00000     0.00000
   -51.46157     0.00000     0.00000     0.00000     0.00000
   -51.38557     0.00000     0.00000     0.00000     0.00000
   -51.30957     0.00000     0.00000     0.00000     0.00000
   -51.23257     0.00000     0.00000     0.00000     0.00000
   -51.15657     0.00000     0.00000     0.00000     0.00000
   -51.07957     0.00000     0.00000     0.00000     0.00000
   -51.00357     0.00000     0.00000     0.00000     0.00000
   -50.92657     0.00000     0.00000     0.00000     0.00000
   -50.85057     0.00000     0.00000     0.00000     0.00000
   -50.77357     0.00000     0.00000     0.00000     0.00000
   -50.69757     0.00000     0.00000     0.00000     0.00000
   -50.62057     0.00000     0.00000     0.00000     0.00000
   -50.54457     0.00000     0.00000     0.00000     0.00000
   -50.46757     0.00000     0.00000     0.00000     0.00000
   -50.39157     0.00000     0.00000     0.00000     0.00000
   -50.31557     0.00000     0.00000     0.00000     0.00000
   -50.23857     0.00000     0.00000     0.00000     0.00000
   -50.16257     0.00000     0.00000     0.00000     0.00000
   -50.08557     0.00000     0.00000     0.00000     0.00000
   -50.00957     0.00000     0.00000     0.00000     0.00000
   -49.93257     0.00000     0.00000     0.00000     0.00000
   -49.85657     0.00000     0.00000     0.00000     0.00000
   -49.77957     0.00000     0.00000     0.00000     0.00000
   -49.70357     0.00000     0.00000     0.00000     0.00000
   -49.62657     0.00000     0.00000     0.00000     0.00000
   -49.55057     0.00000     0.00000     0.00000     0.00000
   -49.47357     0.00000     0.00000     0.00000     0.00000
   -49.39757     0.00000     0.00000     0.00000     0.00000
   -49.32057     0.00000     0.00000     0.00000     0.00000
   -49.24457     0.00000     0.00000     0.00000     0.00000
   -49.16857     0.00000     0.00000     0.00000     0.00000
   -49.09157     0.00000     0.00000     0.00000     0.00000
   -49.01557     0.00000     0.00000     0.00000     0.00000
   -48.93857     0.00000     0.00000     0.00000     0.00000
   -48.86257     0.00000     0.00000     0.00000     0.00000
   -48.78557     0.00000     0.00000     0.00000     0.00000
   -48.70957     0.00000     0.00000     0.00000     0.00000
   -48.63257     0.00000     0.00000     0.00000     0.00000
   -48.55657     0.00000     0.00000     0.00000     0.00000
   -48.47957     0.00000     0.00000     0.00000     0.00000
   -48.40357     0.00000     0.00000     0.00000     0.00000
   -48.32657     0.00000     0.00000     0.00000     0.00000
   -48.25057     0.00000     0.00000     0.00000     0.00000
   -48.17457     0.00000     0.00000     0.00000     0.00000
   -48.09757     0.00000     0.00000     0.00000     0.00000
   -48.02157     0.00000     0.00000     0.00000     0.00000
   -47.94457     0.00000     0.00000     0.00000     0.00000
   -47.86857     0.00000     0.00000     0.00000     0.00000
   -47.79157     0.00000     0.00000     0.00000     0.00000
   -47.71557     0.00000     0.00000     0.00000     0.00000
   -47.63857     0.00000     0.00000     0.00000     0.00000
   -47.56257     0.00000     0.00000     0.00000     0.00000
   -47.48557     0.00000     0.00000     0.00000     0.00000
   -47.40957     0.00000     0.00000     0.00000     0.00000
   -47.33257     0.00000     0.00000     0.00000     0.00000
   -47.25657     0.00000     0.00000     0.00000     0.00000
   -47.17957     0.00000     0.00000     0.00000     0.00000
   -47.10357     0.00000     0.00000     0.00000     0.00000
   -47.02757     0.00000     0.00000     0.00000     0.00000
   -46.95057     0.00000     0.00000     0.00000     0.00000
   -46.87457     0.00000     0.00000     0.00000     0.00000
   -46.79757     0.00000     0.00000     0.00000     0.00000
   -46.72157     0.00000     0.00000     0.00000     0.00000
   -46.64457     0.00000     0.00000     0.00000     0.00000
   -46.56857     0.00000     0.00000     0.00000     0.00000
   -46.49157     0.00000     0.00000     0.00000     0.00000
   -46.41557     0.00000     0.00000     0.00000     0.00000
   -46.33857     0.00000     0.00000     0.00000     0.00000
   -46.26257     0.00000     0.00000     0.00000     0.00000
   -46.18557     0.00000     0.00000     0.00000     0.00000
   -46.10957     0.00000     0.00000     0.00000     0.00000
   -46.03357     0.00000     0.00000     0.00000     0.00000
   -45.95657     0.00000     0.00000     0.00000     0.00000
   -45.88057     0.00000     0.00000     0.00000     0.00000
   -45.80357     0.00000     0.00000     0.00000     0.00000
   -45.72757     0.00000     0.00000     0.00000     0.00000
   -45.65057     0.00000     0.00000     0.00000     0.00000
   -45.57457     0.00000     0.00000     0.00000     0.00000
   -45.49757     0.00000     0.00000     0.00000     0.00000
   -45.42157     0.00000     0.00000     0.00000     0.00000
   -45.34457     0.00000     0.00000     0.00000     0.00000
   -45.26857     0.00000     0.00000     0.00000     0.00000
   -45.19157     0.00000     0.00000     0.00000     0.00000
   -45.11557     0.00000     0.00000     0.00000     0.00000
   -45.03857     0.00000     0.00000     0.00000     0.00000
   -44.96257     0.00000     0.00000     0.00000     0.00000
   -44.88657     0.00000     0.00000     0.00000     0.00000
   -44.80957     0.00000     0.00000     0.00000     0.00000
   -44.73357     0.00000     0.00000     0.00000     0.00000
   -44.65657     0.00000     0.00000     0.00000     0.00000
   -44.58057     0.00000     0.00000     0.00000     0.00000
   -44.50357     0.00000     0.00000     0.00000     0.00000
   -44.42757     0.00000     0.00000     0.00000     0.00000
   -44.35057     0.00000     0.00000     0.00000     0.00000
   -44.27457     0.00000     0.00000     0.00000     0.00000
   -44.19757     0.00000     0.00000     0.00000     0.00000
   -44.12157     0.00000     0.00000     0.00000     0.00000
   -44.04457     0.00000     0.00000     0.00000     0.00000
   -43.96857     0.00000     0.00000     0.00000     0.00000
   -43.89257     0.00000     0.00000     0.00000     0.00000
   -43.81557     0.00000     0.00000     0.00000     0.00000
   -43.73957     0.00000     0.00000     0.00000     0.00000
   -43.66257     0.00000     0.00000     0.00000     0.00000
   -43.58657     0.00000     0.00000     0.00000     0.00000
   -43.50957     0.00000     0.00000     0.00000     0.00000
   -43.43357     0.00000     0.00000     0.00000     0.00000
   -43.35657     0.00000     0.00000     0.00000     0.00000
   -43.28057     0.00000     0.00000     0.00000     0.00000
   -43.20357     0.00000     0.00000     0.00000     0.00000
   -43.12757     0.00000     0.00000     0.00000     0.00000
   -43.05057     0.00000     0.00000     0.00000     0.00000
   -42.97457     0.00000     0.00000     0.00000     0.00000
   -42.89857     0.00000     0.00000     0.00000     0.00000
   -42.82157     0.00000     0.00000     0.00000     0.00000
   -42.74557     0.00000     0.00000     0.00000     0.00000
   -42.66857     0.00000     0.00000     0.00000     0.00000
   -42.59257     0.00000     0.00000     0.00000     0.00000
   -42.51557     0.00000     0.00000     0.00000     0.00000
   -42.43957     0.00000     0.00000     0.00000     0.00000
   -42.36257     0.00000     0.00000     0.00000     0.00000
   -42.28657     0.00000     0.00000     0.00000     0.00000
   -42.20957     0.00000     0.00000     0.00000     0.00000
   -42.13357     0.00000     0.00000     0.00000     0.00000
   -42.05657     0.00000     0.00000     0.00000     0.00000
   -41.98057     0.00000     0.00000     0.00000     0.00000
   -41.90357     0.00000     0.00000     0.00000     0.00000
   -41.82757     0.00000     0.00000     0.00000     0.00000
   -41.75157     0.00000     0.00000     0.00000     0.00000
   -41.67457     0.00000     0.00000     0.00000     0.00000
   -41.59857     0.00000     0.00000     0.00000     0.00000
   -41.52157     0.00000     0.00000     0.00000     0.00000
   -41.44557     0.00000     0.00000     0.00000     0.00000
   -41.36857     0.00000     0.00000     0.00000     0.00000
   -41.29257     0.00000     0.00000     0.00000     0.00000
   -41.21557     0.00000     0.00000     0.00000     0.00000
   -41.13957     0.00000     0.00000     0.00000     0.00000
   -41.06257     0.00000     0.00000     0.00000     0.00000
   -40.98657     0.00000     0.00000     0.00000     0.00000
   -40.90957     0.00000     0.00000     0.00000     0.00000
   -40.83357     0.00000     0.00000     0.00000     0.00000
   -40.75757     0.00000     0.00000     0.00000     0.00000
   -40.68057     0.00000     0.00000     0.00000     0.00000
   -40.60457     0.00000     0.00000     0.00000     0.00000
   -40.52757     0.00000     0.00000     0.00000     0.00000
   -40.45157     0.00000     0.00000     0.00000     0.00000
   -40.37457     0.00000     0.00000     0.00000     0.00000
   -40.29857     0.00000     0.00000     0.00000     0.00000
   -40.22157     0.00000     0.00000     0.00000     0.00000
   -40.14557     0.00000     0.00000     0.00000     0.00000
   -40.06857     0.00000     0.00000     0.00000     0.00000
   -39.99257     0.00000     0.00000     0.00000     0.00000
   -39.91557     0.00000     0.00000     0.00000     0.00000
   -39.83957     0.00000     0.00000     0.00000     0.00000
   -39.76257     0.00000     0.00000     0.00000     0.00000
   -39.68657     0.00000     0.00000     0.00000     0.00000
   -39.61057     0.00000     0.00000     0.00000     0.00000
   -39.53357     0.00000     0.00000     0.00000     0.00000
   -39.45757     0.00000     0.00000     0.00000     0.00000
   -39.38057     0.00000     0.00000     0.00000     0.00000
   -39.30457     0.00000     0.00000     0.00000     0.00000
   -39.22757     0.00000     0.00000     0.00000     0.00000
   -39.15157     0.00000     0.00000     0.00000     0.00000
   -39.07457     0.00000     0.00000     0.00000     0.00000
   -38.99857     0.00000     0.00000     0.00000     0.00000
   -38.92157     0.00000     0.00000     0.00000     0.00000
   -38.84557     0.00000     0.00000     0.00000     0.00000
   -38.76857     0.00000     0.00000     0.00000     0.00000
   -38.69257     0.00000     0.00000     0.00000     0.00000
   -38.61657     0.00000     0.00000     0.00000     0.00000
   -38.53957     0.00000     0.00000     0.00000     0.00000
   -38.46357     0.00000     0.00000     0.00000     0.00000
   -38.38657     0.00000     0.00000     0.00000     0.00000
   -38.31057     0.00000     0.00000     0.00000     0.00000
   -38.23357     0.00000     0.00000     0.00000     0.00000
   -38.15757     0.00000     0.00000     0.00000     0.00000
   -38.08057     0.00000     0.00000     0.00000     0.00000
   -38.00457     0.00000     0.00000     0.00000     0.00000
   -37.92757     0.00000     0.00000     0.00000     0.00000
   -37.85157     0.00000     0.00000     0.00000     0.00000
   -37.77457     0.00000     0.00000     0.00000     0.00000
   -37.69857     0.00000     0.00000     0.00000     0.00000
   -37.62157     0.00000     0.00000     0.00000     0.00000
   -37.54557     0.00000     0.00000     0.00000     0.00000
   -37.46957     0.00000     0.00000     0.00000     0.00000
   -37.39257     0.00000     0.00000     0.00000     0.00000
   -37.31657     0.00000     0.00000     0.00000     0.00000
   -37.23957     0.00000     0.00000     0.00000     0.00000
   -37.16357     0.00000     0.00000     0.00000     0.00000
   -37.08657     0.00000     0.00000     0.00000     0.00000
   -37.01057     0.00000     0.00000     0.00000     0.00000
   -36.93357     0.00000     0.00000     0.00000     0.00000
   -36.85757     0.00000     0.00000     0.00000     0.00000
   -36.78057     0.00000     0.00000     0.00000     0.00000
   -36.70457     0.00000     0.00000     0.00000     0.00000
   -36.62757     0.00000     0.00000     0.00000     0.00000
   -36.55157     0.00000     0.00000     0.00000     0.00000
   -36.47557     0.00000     0.00000     0.00000     0.00000
   -36.39857     0.00000     0.00000     0.00000     0.00000
   -36.32257     0.00000     0.00000     0.00000     0.00000
   -36.24557     0.00000     0.00000     0.00000     0.00000
   -36.16957     0.00000     0.00000     0.00000     0.00000
   -36.09257     0.00000     0.00000     0.00000     0.00000
   -36.01657     0.00000     0.00000     0.00000     0.00000
   -35.93957     0.00000     0.00000     0.00000     0.00000
   -35.86357     0.00000     0.00000     0.00000     0.00000
   -35.78657     0.00000     0.00000     0.00000     0.00000
   -35.71057     0.00000     0.00000     0.00000     0.00000
   -35.63357     0.00000     0.00000     0.00000     0.00000
   -35.55757     0.00000     0.00000     0.00000     0.00000
   -35.48057     0.00000     0.00000     0.00000     0.00000
   -35.40457     0.00000     0.00000     0.00000     0.00000
   -35.32857     0.00000     0.00000     0.00000     0.00000
   -35.25157     0.00000     0.00000     0.00000     0.00000
   -35.17557     0.00000     0.00000     0.00000     0.00000
   -35.09857     0.00000     0.00000     0.00000     0.00000
   -35.02257     0.00000     0.00000     0.00000     0.00000
   -34.94557     0.00000     0.00000     0.00000     0.00000
   -34.86957     0.00000     0.00000     0.00000     0.00000
   -34.79257     0.00000     0.00000     0.00000     0.00000
   -34.71657     0.00000     0.00000     0.00000     0.00000
   -34.63957     0.00000     0.00000     0.00000     0.00000
   -34.56357     0.00000     0.00000     0.00000     0.00000
   -34.48657     0.00000     0.00000     0.00000     0.00000
   -34.41057     0.00000     0.00000     0.00000     0.00000
   -34.33457     0.00000     0.00000     0.00000     0.00000
   -34.25757     0.00000     0.00000     0.00000     0.00000
   -34.18157     0.00000     0.00000     0.00000     0.00000
   -34.10457     0.00000     0.00000     0.00000     0.00000
   -34.02857     0.00000     0.00000     0.00000     0.00000
   -33.95157     0.00000     0.00000     0.00000     0.00000
   -33.87557    -0.00000    -0.00000    -0.00000    -0.00000
   -33.79857    -0.00000    -0.00000    -0.00000    -0.00000
   -33.72257    -0.00000    -0.00000    -0.00000    -0.00000
   -33.64557    -0.00000    -0.00000    -0.00000    -0.00000
   -33.56957    -0.00000    -0.00000    -0.00000    -0.00000
   -33.49257    -0.00000    -0.00000    -0.00000    -0.00000
   -33.41657    -0.00000    -0.00000    -0.00000    -0.00000
   -33.34057    -0.00000    -0.00000    -0.00000    -0.00000
   -33.26357    -0.00001    -0.00001    -0.00000    -0.00002
   -33.18757    -0.00009    -0.00008    -0.00005    -0.00022
   -33.11057     0.00012    -0.00002    -0.00012    -0.00002
   -33.03457     0.00195     0.00160     0.00104     0.00459
   -32.95757     0.00285     0.00346     0.00358     0.00989
   -32.88157     0.00110     0.00192     0.00280     0.00583
   -32.80457     0.00029     0.00045     0.00073     0.00147
   -32.72857     0.00023     0.00031     0.00041     0.00096
   -32.65157     0.00017     0.00029     0.00050     0.00095
   -32.57557     0.00008     0.00023     0.00056     0.00088
   -32.49857     0.00001     0.00009     0.00030     0.00040
   -32.42257    -0.00000    -0.00000     0.00002     0.00001
   -32.34557    -0.00000    -0.00000    -0.00002    -0.00002
   -32.26957    -0.00000    -0.00000    -0.00000    -0.00000
   -32.19357    -0.00000    -0.00000    -0.00000    -0.00000
   -32.11657    -0.00000    -0.00000    -0.00000    -0.00000
   -32.04057    -0.00000    -0.00000    -0.00000    -0.00000
   -31.96357    -0.00000    -0.00000    -0.00000    -0.00000
   -31.88757    -0.00000    -0.00000    -0.00000    -0.00000
   -31.81057     0.00000     0.00000     0.00000     0.00000
   -31.73457     0.00000     0.00000     0.00000     0.00000
