     #Energy           s           p           d       tot  
   -60.14118     0.00000     0.00000     0.00000     0.00000
   -60.06418     0.00000     0.00000     0.00000     0.00000
   -59.98618     0.00000     0.00000     0.00000     0.00000
   -59.90918     0.00000     0.00000     0.00000     0.00000
   -59.83118     0.00000     0.00000     0.00000     0.00000
   -59.75418     0.00000     0.00000     0.00000     0.00000
   -59.67718     0.00000     0.00000     0.00000     0.00000
   -59.59918     0.00000     0.00000     0.00000     0.00000
   -59.52218     0.00000     0.00000     0.00000     0.00000
   -59.44518     0.00000     0.00000     0.00000     0.00000
   -59.36718     0.00000     0.00000     0.00000     0.00000
   -59.29018     0.00000     0.00000     0.00000     0.00000
   -59.21318     0.00000     0.00000     0.00000     0.00000
   -59.13518     0.00000     0.00000     0.00000     0.00000
   -59.05818     0.00000     0.00000     0.00000     0.00000
   -58.98118     0.00000     0.00000     0.00000     0.00000
   -58.90318     0.00000     0.00000     0.00000     0.00000
   -58.82618     0.00000     0.00000     0.00000     0.00000
   -58.74918     0.00000     0.00000     0.00000     0.00000
   -58.67118     0.00000     0.00000     0.00000     0.00000
   -58.59418     0.00000     0.00000     0.00000     0.00000
   -58.51618     0.00000     0.00000     0.00000     0.00000
   -58.43918     0.00000     0.00000     0.00000     0.00000
   -58.36218     0.00000     0.00000     0.00000     0.00000
   -58.28418     0.00000     0.00000     0.00000     0.00000
   -58.20718     0.00000     0.00000     0.00000     0.00000
   -58.13018     0.00000     0.00000     0.00000     0.00000
   -58.05218     0.00000     0.00000     0.00000     0.00000
   -57.97518     0.00000     0.00000     0.00000     0.00000
   -57.89818     0.00000     0.00000     0.00000     0.00000
   -57.82018     0.00000     0.00000     0.00000     0.00000
   -57.74318     0.00000     0.00000     0.00000     0.00000
   -57.66618     0.00000     0.00000     0.00000     0.00000
   -57.58818     0.00000     0.00000     0.00000     0.00000
   -57.51118     0.00000     0.00000     0.00000     0.00000
   -57.43418    -0.00000    -0.00000     0.00000    -0.00000
   -57.35618    -0.00000    -0.00000     0.00000    -0.00000
   -57.27918    -0.00000    -0.00000     0.00000    -0.00000
   -57.20118    -0.00000    -0.00000     0.00000    -0.00000
   -57.12418    -0.00000    -0.00000     0.00000    -0.00000
   -57.04718    -0.00000    -0.00000     0.00000    -0.00000
   -56.96918    -0.00000    -0.00000     0.00000    -0.00000
   -56.89218    -0.00000    -0.00000     0.00000    -0.00000
   -56.81518    -0.00000    -0.00000     0.00000    -0.00000
   -56.73718    -0.00001    -0.00001     0.00000    -0.00002
   -56.66018     0.00004     0.00004     0.00000     0.00008
   -56.58318     0.00018     0.00023     0.00000     0.00041
   -56.50518     0.00012     0.00022     0.00000     0.00034
   -56.42818     0.00000     0.00003     0.00000     0.00003
   -56.35118    -0.00001    -0.00001     0.00000    -0.00002
   -56.27318    -0.00000    -0.00000     0.00000    -0.00000
   -56.19618    -0.00000    -0.00000     0.00000    -0.00000
   -56.11918    -0.00000    -0.00000     0.00000    -0.00000
   -56.04118    -0.00000    -0.00000     0.00000    -0.00000
   -55.96418    -0.00000    -0.00000     0.00000    -0.00000
   -55.88618    -0.00000    -0.00000     0.00000    -0.00000
   -55.80918     0.00000     0.00000     0.00000     0.00000
   -55.73218     0.00000     0.00000     0.00000     0.00000
   -55.65418     0.00000     0.00000     0.00000     0.00000
   -55.57718     0.00000     0.00000     0.00000     0.00000
   -55.50018     0.00000     0.00000     0.00000     0.00000
   -55.42218     0.00000     0.00000     0.00000     0.00000
   -55.34518     0.00000     0.00000     0.00000     0.00000
   -55.26818     0.00000     0.00000     0.00000     0.00000
   -55.19018     0.00000     0.00000     0.00000     0.00000
